id,primary,secondary,type
1698,Washington and Lee University,Virginia,transfer_school
1699,William and Mary-Va Poly Inst,Virginia,transfer_school
1700,Wytheville Community College,Virginia,transfer_school
1701,Bellevue College,Washington,transfer_school
1702,Big Bend Community College,Washington,transfer_school
1703,Cascadia College,Washington,transfer_school
1704,Centrl Washington University,Washington,transfer_school
1705,Clark College Wa,Washington,transfer_school
1706,Columbia Basin College,Washington,transfer_school
1707,Eastern Washington University,Washington,transfer_school
1708,Edmonds Community College,Washington,transfer_school
1709,Everett Community College,Washington,transfer_school
1710,Gonzaga University,Washington,transfer_school
1711,Green River Cmty College,Washington,transfer_school
1712,Highline College,Washington,transfer_school
1713,Lake Washington Tech College,Washington,transfer_school
1714,North Seattle Cmty College,Washington,transfer_school
1715,Olympic College,Washington,transfer_school
1716,Pacific Lutheran University,Washington,transfer_school
1717,Peninsula College,Washington,transfer_school
1718,Pierce College,Washington,transfer_school
1719,Seattle Central College,Washington,transfer_school
1720,Seattle Pacific University,Washington,transfer_school
1721,Seattle University,Washington,transfer_school
1722,Shoreline Cmty College,Washington,transfer_school
1723,Skagit Valley College,Washington,transfer_school
1724,South Puget Sound Cmty College,Washington,transfer_school
1725,South Seattle Cmty College,Washington,transfer_school
1726,Spokane Community College*,Washington,transfer_school
1727,Spokane Falls Cmty College,Washington,transfer_school
1728,Tacoma Cmty College,Washington,transfer_school
1729,Univ Washington Bothell,Washington,transfer_school
1730,University Of Washington,Washington,transfer_school
1731,Walla Walla Cmty College,Washington,transfer_school
1732,Walla Walla University,Washington,transfer_school
1733,Washington State Univ,Washington,transfer_school
1734,Wenatchee Valley College*,Washington,transfer_school
1735,Western Washington University,Washington,transfer_school
1736,Whatcom Cmty College,Washington,transfer_school
1737,Yakima Valley Community Coll*,Washington,transfer_school
1738,American Public University*,West Virginia,transfer_school
1739,Davis & Elkins College,West Virginia,transfer_school
1740,Marshall University,West Virginia,transfer_school
1741,Potomac State College,West Virginia,transfer_school
1742,Shepherd University,West Virginia,transfer_school
1743,Southrn West Virigina C&Tech C,West Virginia,transfer_school
1744,Univ Charleston,West Virginia,transfer_school
1745,West Virginia State University,West Virginia,transfer_school
1746,West Virginia Univ Inst Tech,West Virginia,transfer_school
1747,West Virginia Univ Morgantown,West Virginia,transfer_school
1748,West Virginia Univ Parkersburg,West Virginia,transfer_school
1749,Wheeling Jesuit University,West Virginia,transfer_school
1750,Beloit College,Wisconsin,transfer_school
1751,Carroll University,Wisconsin,transfer_school
1752,Immanuel Lutheran College,Wisconsin,transfer_school
1753,Lakeland University,Wisconsin,transfer_school
1754,Lawrence University,Wisconsin,transfer_school
1755,Madison Area Tech College,Wisconsin,transfer_school
1756,Marian University,Wisconsin,transfer_school
1757,Marquette University,Wisconsin,transfer_school
1758,Milwaukee Area Technical Colg,Wisconsin,transfer_school
1759,Milwaukee School Engineering,Wisconsin,transfer_school
1760,St Norbert College,Wisconsin,transfer_school
1761,Univ Of Wisconsin Marathon Ctr,Wisconsin,transfer_school
1762,Univ Of Wisconsin Rock County,Wisconsin,transfer_school
1763,Univ Wisc Eau Claire,Wisconsin,transfer_school
1764,Univ Wisc Fox Valley,Wisconsin,transfer_school
1765,Univ Wisc Madison*,Wisconsin,transfer_school
1766,Univ Wisc Milwaukee,Wisconsin,transfer_school
1767,Univ Wisc Oshkosh,Wisconsin,transfer_school
1768,Univ Wisc Platteville,Wisconsin,transfer_school
1769,Univ Wisc Richland Center,Wisconsin,transfer_school
1770,Univ Wisc River Falls,Wisconsin,transfer_school
1771,Univ Wisc Stevens Point,Wisconsin,transfer_school
1772,Univ Wisc Stout/Menomonie,Wisconsin,transfer_school
1773,Univ Wisc Superior,Wisconsin,transfer_school
1774,Univ Wisc Waukesha,Wisconsin,transfer_school
1775,Univ Wisc Whitewater,Wisconsin,transfer_school
1776,University Wisconsin Colleges,Wisconsin,transfer_school
1777,University Wisconsin Green Bay,Wisconsin,transfer_school
1778,Waukesha County Tech Coll,Wisconsin,transfer_school
1779,Wisconsin Lutheran College,Wisconsin,transfer_school
1780,Casper College,Wyoming,transfer_school
1781,Northwst College Wy,Wyoming,transfer_school
1782,Sheridan College,Wyoming,transfer_school
1783,Univ Wyoming,Wyoming,transfer_school
1784,Westrn Wyoming Cmty College,Wyoming,transfer_school
1785,HUM 1XXX,,gt_class
1786,BIOL 1XXX,,gt_class
1787,BIOL 1510,,gt_class
1788,FREE 1XXX,,gt_class
1789,CHEM 1211K,,gt_class
1790,CHEM 1212K,,gt_class
1791,CHEM 1XXX,,gt_class
1792,CHEM 2311,,gt_class
1793,CHEM 2312,,gt_class
1794,CHEM 3411,,gt_class
1795,CHEM 3412,,gt_class
1796,CS 18XX,,gt_class
1797,ECON 2106,,gt_class
1798,ECE 2030,,gt_class
1799,CS 1371,,gt_class
1800,ENGL 1101,,gt_class
1801,ENGL 1102,,gt_class
1802,HUM 2XXX,,gt_class
1803,FREE 2XXX,,gt_class
1804,HPS 1040,,gt_class
1805,SS 3XXX,,gt_class
1806,INTA 1200,,gt_class
1807,FREE 1XXXX,,gt_class
1808,MATH 1551,,gt_class
1809,MATH 1XXX,,gt_class
1810,MATH 1552,,gt_class
1811,MATH 2401,,gt_class
1812,MATH 24X3,,gt_class
1813,MATH 3215,,gt_class
1814,MUSI 3610,,gt_class
1815,FREE 3XXX,,gt_class
1816,HPS 1XXX,,gt_class
1817,PHIL 2010,,gt_class
1818,PHYS 2211,,gt_class
1819,PHYS 2212,,gt_class
1820,PSYC 1101,,gt_class
1821,SOC 1101,,gt_class
1822,SPAN 1001,,gt_class
1823,LCC 3401,,gt_class
1824,MGT 2250,,gt_class
1825,SS 1XXX,,gt_class
1826,CS 1301,,gt_class
1827,SS 2XXX,,gt_class
1828,SCI 1XXX,,gt_class
1829,SCI 2XXX,,gt_class
1830,LMC 2XXX,,gt_class
1831,ACCT 2102,,gt_class
1832,BIOL 1220,,gt_class
1833,CHEM 1310,,gt_class
1834,CS 2050,,gt_class
1835,ECON 2105,,gt_class
1836,LCC 2208,,gt_class
1837,LCC 2210,,gt_class
1838,FREN 1001,,gt_class
1839,FREN 1002,,gt_class
1840,HTS 1XXX,,gt_class
1841,RUSS 1001,,gt_class
1842,RUSS 1002,,gt_class
1843,MATH 17X1,,gt_class
1844,MATH 1522,,gt_class
1845,MATH 2XXX,,gt_class
1846,CEE 3770,,gt_class
1847,MGT 2106,,gt_class
1848,POL 1101,,gt_class
1849,MATH 3770,,gt_class
1850,ACCT 2101,,gt_class
1851,MGT 3000,,gt_class
1852,AE 1601,,gt_class
1853,CHEM 4511,,gt_class
1854,BIOS 1XXX,,gt_class
1855,BIOS 1107,,gt_class
1856,BIOS 1107L,,gt_class
1857,BIOS 1108,,gt_class
1858,BIOS 1108L,,gt_class
1859,BIOS 2XXX,,gt_class
1860,BIOS 3380,,gt_class
1861,BIOS 3381,,gt_class
1862,MGT 3XXX,,gt_class
1863,CHEM 2XXX,,gt_class
1864,CHBE 2100,,gt_class
1865,CS 17XX,,gt_class
1866,CS 1332,,gt_class
1867,CS 1XXX,,gt_class
1868,APPH 2XXX,,gt_class
1869,ECON 3110,,gt_class
1870,ECON 4340,,gt_class
1871,ECE 3710,,gt_class
1872,ECE 3741,,gt_class
1873,ME 3322,,gt_class
1874,COE 2001,,gt_class
1875,ARCH 2XXX,,gt_class
1876,CHIN 1001,,gt_class
1877,FREN 2001,,gt_class
1878,FREN 2002,,gt_class
1879,FREN 2XXX,,gt_class
1880,FREN 3XXX,,gt_class
1881,FREN 3011,,gt_class
1882,JAPN 1001,,gt_class
1883,JAPN 1002,,gt_class
1884,SPAN 1002,,gt_class
1885,SPAN 3170,,gt_class
1886,SPAN 2001,,gt_class
1887,SPAN 2002,,gt_class
1888,SPAN 3101,,gt_class
1889,EAS 2600,,gt_class
1890,HTS 1081,,gt_class
1891,HIST 2111,,gt_class
1892,HIST 2112,,gt_class
1893,HTS 2036,,gt_class
1894,APPH 1040,,gt_class
1895,MATH 1501,,gt_class
1896,MATH 1711,,gt_class
1897,MATH 1712,,gt_class
1898,MSE 2001,,gt_class
1899,LMC 2500,,gt_class
1900,MGT 3300,,gt_class
1901,MGT 3150,,gt_class
1902,HPS 11XX,,gt_class
1903,HPS 1006,,gt_class
1904,PST 3113,,gt_class
1905,PST 3105,,gt_class
1906,PHIL 3105,,gt_class
1907,PHYS 2XXX,,gt_class
1908,PUBP 3XXX,,gt_class
1909,PSYC 2103,,gt_class
1910,PSYC 2230,,gt_class
1911,PSYC 2210,,gt_class
1912,LMC 2100,,gt_class
1913,BIOL 4401,,gt_class
1914,ISYE 3770,,gt_class
1915,LMC 2600,,gt_class
1916,BIOL 1520,,gt_class
1917,MATH 2551,,gt_class
1918,MATH 2X52,,gt_class
1919,HTS 3XXX,,gt_class
1920,HTS 2041,,gt_class
1921,HTS 2006,,gt_class
1922,HTS 2XXX,,gt_class
1923,MATH 2603,,gt_class
1924,MATH 2550,,gt_class
1925,MATH 1554,,gt_class
1926,BIOL 3751,,gt_class
1927,SOC 2XXX,,gt_class
1928,PHYS 2213,,gt_class
1929,HPS 1010,,gt_class
1930,MATH 15X1,,gt_class
1931,MATH 15X2,,gt_class
1932,SPAN 1XXX,,gt_class
1933,CHEM 2380,,gt_class
1934,MATH 2403,,gt_class
1935,MUSI 2600,,gt_class
1936,MUSI 3600,,gt_class
1937,CS 1316,,gt_class
1938,HTS 1031,,gt_class
1939,HPS 1061,,gt_class
1940,LCC 2202,,gt_class
1941,LCC 2204,,gt_class
1942,MATH 11X3,,gt_class
1943,MGT 3661,,gt_class
1944,MGT 3660,,gt_class
1945,MGT 3078,,gt_class
1946,MGT 3101,,gt_class
1947,PUBP 4XXX,,gt_class
1948,MATH 1553,,gt_class
1949,PHYS 2022,,gt_class
1950,MATH 17X2,,gt_class
1951,LCC 3402,,gt_class
1952,CS 1331,,gt_class
1953,EAS 1XXX,,gt_class
1954,JAPN 2001,,gt_class
1955,JAPN 2XXX,,gt_class
1956,JAPN 2002,,gt_class
1957,HTS 2015,,gt_class
1958,MATH 2106,,gt_class
1959,APPH 3500,,gt_class
1960,PHYS 2021,,gt_class
1961,SPAN 3XXX,,gt_class
1962,LCC 3208,,gt_class
1963,MATH 24X1,,gt_class
1964,CHIN 10X1,,gt_class
1965,CS 2XXX,,gt_class
1966,APPH 1XXX,,gt_class
1967,AE 1350,,gt_class
1968,ECE 3XXX,,gt_class
1969,ECE 20X3,,gt_class
1970,PST 1101,,gt_class
1971,MGT 4010,,gt_class
1972,ARCH 1XXX,,gt_class
1973,BMED 4XXX,,gt_class
1974,GT 4801,,gt_class
1975,LMC 3403,,gt_class
1976,EAS 1600,,gt_class
1977,APPH 3753,,gt_class
1978,APPH 3754,,gt_class
1979,BIOL 2334,,gt_class
1980,LMC 3XXX,,gt_class
1981,EAS 2750,,gt_class
1982,EAS 2XXX,,gt_class
1983,JAPN 10X1,,gt_class
1984,AE 1XXX,,gt_class
1985,ECON 3XXX,,gt_class
1986,MGT 3501,,gt_class
1987,MGT 3102,,gt_class
1988,HUM 3XXX,,gt_class
1989,CS 3510,,gt_class
1990,CS 1322,,gt_class
1991,ECE 2040,,gt_class
1992,MATH 1X54,,gt_class
1993,MATH 4150,,gt_class
1994,MATH 3670,,gt_class
1995,MATH 4107,,gt_class
1996,MATH 3406,,gt_class
1997,ME 2202,,gt_class
1998,PHYS 3151,,gt_class
1999,RUSS 10X2,,gt_class
2000,BIOS 3450,,gt_class
2001,BIOS 3XXX,,gt_class
2002,BIOS 2300,,gt_class
2003,CS 3300,,gt_class
2004,CS 3XXX,,gt_class
2005,ECE 2XXX,,gt_class
2006,EAS 2602,,gt_class
2007,GRMN 1001,,gt_class
2008,GRMN 1002,,gt_class
2009,APPH 11XX,,gt_class
2010,LATN 2XXX,,gt_class
2011,MATH 3012,,gt_class
2012,MATH 3XXX,,gt_class
2013,LMC 2400,,gt_class
2014,MSE 1XXX,,gt_class
2015,PHIL 3XXX,,gt_class
2016,INTA 3203,,gt_class
2017,INTA 1110,,gt_class
2018,PHIL 3050,,gt_class
2019,PUBP 2XXX,,gt_class
2020,LCC 3254,,gt_class
2021,LCC 3228,,gt_class
2022,SS 4XXX,,gt_class
2023,HTS 2037,,gt_class
2024,HTS 3009,,gt_class
2025,PST 3102,,gt_class
2026,MGT 3062,,gt_class
2027,CEE 4XXX,,gt_class
2028,ECON 2100,,gt_class
2029,MATH 26X2,,gt_class
2030,LMC 3508,,gt_class
2031,CS 13X1,,gt_class
2032,CS 1321,,gt_class
2033,ME 2211,,gt_class
2034,ME 2110,,gt_class
2035,HPS 3XXX,,gt_class
2036,HUM 4XXX,,gt_class
2037,BIOL 3310,,gt_class
2038,PHYS 1XXX,,gt_class
2039,BIOL 2XXX,,gt_class
2040,BMED 1000,,gt_class
2041,BMED 1XXX,,gt_class
2042,CEE 2040,,gt_class
2043,CS 15XX,,gt_class
2044,ECE 2020,,gt_class
2045,CS 4235,,gt_class
2046,ID 3103,,gt_class
2047,CMPE 1XXX,,gt_class
2048,ECE 3025,,gt_class
2049,MGT 4670,,gt_class
2050,ID 3301,,gt_class
2051,MATH 1X52,,gt_class
2052,MATH 2X51,,gt_class
2053,MATH 24X4,,gt_class
2054,ECON 1XXX,,gt_class
2055,FREN 1XXX,,gt_class
2056,CEE 1770,,gt_class
2057,MATH 2552,,gt_class
2058,PHIL 3113,,gt_class
2059,SPAN 2XXX,,gt_class
2060,LMC 3254,,gt_class
2061,LING 1XXX,,gt_class
2062,ECON 2101,,gt_class
2063,ECON 2XXX,,gt_class
2064,PSYC 3XXX,,gt_class
2065,BIOS 3753,,gt_class
2066,BIOS 3754,,gt_class
2067,BIOS 3755,,gt_class
2068,BIOS 3756,,gt_class
2069,FREN 2022,,gt_class
2070,SPAN 3102,,gt_class
2071,LCC 2500,,gt_class
2072,MGT 2XXX,,gt_class
2073,PST 4176,,gt_class
2074,ME 2016,,gt_class
2075,AE 2020,,gt_class
2076,AE 3310,,gt_class
2077,ME 3XXX,,gt_class
2078,CEE 3040,,gt_class
2079,CEE 3055,,gt_class
2080,CEE 4405,,gt_class
2081,CEE 4300,,gt_class
2082,CHIN 3004,,gt_class
2083,CS 1372,,gt_class
2084,BIOL 2335,,gt_class
2085,BIOL 3XXX,,gt_class
2086,BIOL 4XXX,,gt_class
2087,JAPN 1XXX,,gt_class
2088,ISYE 3025,,gt_class
2089,CEE 3010,,gt_class
2090,MGT 2200,,gt_class
2091,CEE 2XXX,,gt_class
2092,ISYE 3XXX,,gt_class
2093,BIOL 3753,,gt_class
2094,MGT 4027,,gt_class
2095,MGT 3079,,gt_class
2096,HTS 3032,,gt_class
2097,PHYS 3123,,gt_class
2098,PHYS 3143,,gt_class
2099,PHYS 3XXX,,gt_class
2100,PHYS 3141,,gt_class
2101,CS 2110,,gt_class
2102,MATH 4305,,gt_class
2103,PHIL 3109,,gt_class
2104,LMC 3208,,gt_class
2105,HTS 3017,,gt_class
2106,LCC 2600,,gt_class
2107,MATH 1550,,gt_class
2108,MUSI 1112,,gt_class
2109,PHIL 2025,,gt_class
2110,BIOL 2336,,gt_class
2111,EAS 1601,,gt_class
2112,MATH 4320,,gt_class
2113,MATH 4XXX,,gt_class
2114,HTS 2084,,gt_class
2115,LCC 3226,,gt_class
2116,BMED 2XXX,,gt_class
2117,CHEM 3481,,gt_class
2118,CHEM 1313,,gt_class
2119,PSYC 1XXX,,gt_class
2120,CHEM 3511,,gt_class
2121,PSYC 2015,,gt_class
2122,LCC 3224,,gt_class
2123,LCC 3502,,gt_class
2124,JAPN 10X2,,gt_class
2125,MATH 1113,,gt_class
2126,CHIN 10X2,,gt_class
2127,POL 2101,,gt_class
2128,HTS 3024,,gt_class
2129,HTS 3025,,gt_class
2130,MGT 1XXX,,gt_class
2131,MSE 2XXX,,gt_class
2132,MATH 1X53,,gt_class
2133,KOR 1001,,gt_class
2134,KOR 1002,,gt_class
2135,KOR 2001,,gt_class
2136,KOR 2XXX,,gt_class
2137,KOR 2002,,gt_class
2138,ARCH 1016,,gt_class
2139,ARCH 2112,,gt_class
2140,ARCH 2111,,gt_class
2141,ARCH 3231,,gt_class
2142,ARCH 1017,,gt_class
2143,CHIN 1002,,gt_class
2144,CHIN 1XXX,,gt_class
2145,HTS 2061,,gt_class
2146,HTS 2062,,gt_class
2147,LCC 3202,,gt_class
2148,MGT 4026,,gt_class
2149,Intro to Computing,,gt_class
2150,GRMN 1XXX,,gt_class
2151,HPS 2XXX,,gt_class
2152,BIOS 1220,,gt_class
2153,CHEM 1311,,gt_class
2154,ID 1401,,gt_class
2155,ID 1402,,gt_class
2156,MUSI 2010,,gt_class
2157,MATH 2602,,gt_class
2158,LMC 3228,,gt_class
2159,LMC 3234,,gt_class
2160,BIOL 3600,,gt_class
2161, ,,gt_class
2162,MATH 1502,,gt_class
2163,BIOL 3340,,gt_class
2164,BIOL 3341,,gt_class
2165,LCC 3403,,gt_class
2166,PHIL 4176,,gt_class
2167,BIOL 3450,,gt_class
2168,BIOL 3451,,gt_class
2169,English Composition I,,gt_class
2170,English Composition II,,gt_class
2171,CHIN 2001,,gt_class
2172,CHIN 2XXX,,gt_class
2173,ECON 3150,,gt_class
2174,PHIL 3127,,gt_class
2175,INTA 2XXX,,gt_class
2176,AE 2XXX,,gt_class
2177,AE 3XXX,,gt_class
2178,HTS 3016,,gt_class
2179,PST 4112,,gt_class
2180,ECE 2026,,gt_class
2181,MSE 3015,,gt_class
2182,HPS 3500,,gt_class
2183,SPAN 1102,,gt_class
2184,NEUR 2XXX,,gt_class
2185,LCC 3206,,gt_class
2186,ARCH 3XXX,,gt_class
2187,JAPN 4XXX,,gt_class
2188,BIOL 3380,,gt_class
2189,BIOL 3381,,gt_class
2190,CHEM 3XXX,,gt_class
2191,CS 4240,,gt_class
2192,CS 4XXX,,gt_class
2193,ECE 3600,,gt_class
2194,MATH 4317,,gt_class
2195,MATH 6321,,gt_class
2196,MATH 6XXX,,gt_class
2197,MATH 6341,,gt_class
2198,MATH 6640,,gt_class
2199,COE 3803,,gt_class
2200,MATH 3235,,gt_class
2201,CHEM 1312,,gt_class
2202,ISYE 2XXX,,gt_class
2203,BMED 2400,,gt_class
2204,BIOL 4651,,gt_class
2205,LCC 4XXX,,gt_class
2206,MATH 1X55,,gt_class
2207,MATH 4755,,gt_class
2208,MATH 4580,,gt_class
2209,INTA 4040,,gt_class
2210,HTS 3062,,gt_class
2211,CS 3251,,gt_class
2212,MATH 26X3,,gt_class
2213,ID 3104,,gt_class
2214,CS 4476,,gt_class
2215,LING 2XXX,,gt_class
2216,MATH 4640,,gt_class
2217,CHBE 2120,,gt_class
2218,LMC 3252,,gt_class
2219,FREE 4XXX,,gt_class
2220,ARCH 1060,,gt_class
2221,LCC 4602,,gt_class
2222,PUBP 3000,,gt_class
2223,CS 1311,,gt_class
2224,CS 1312,,gt_class
2225,AE 3450,,gt_class
2226,ARBC 10X1,,gt_class
2227,ARBC 10X2,,gt_class
2228,AE 4380,,gt_class
2229,AE 2120,,gt_class
2230,GRMN 2001,,gt_class
2231,GRMN 2002,,gt_class
2232,ISYE 2027,,gt_class
2233,EAS 4XXX,,gt_class
2234,SPAN 3001,,gt_class
2235,INTA 4XXX,,gt_class
2236,ARCH 4XXX,,gt_class
2237,COA 2241,,gt_class
2238,PHYS 2750,,gt_class
2239,BIOL 2344,,gt_class
2240,HTS 3067,,gt_class
2241,PHYS 2133,,gt_class
2242,PHYS 3201,,gt_class
2243,PHYS 3202,,gt_class
2244,PHYS 3122,,gt_class
2245,ARCH 4415,,gt_class
2246,CS 6XXX,,gt_class
2247,INTA 2040,,gt_class
2248,ML 1XXX,,gt_class
2249,APPH 3751,,gt_class
2250,MGT 4335,,gt_class
2251,PHIL 3102,,gt_class
2252,ID 1XXX,,gt_class
2253,ECE 1XXX,,gt_class
2254,LCC 2100,,gt_class
2255,CHIN 2002,,gt_class
2256,ECON 3120,,gt_class
2257,ECON 4170,,gt_class
2258,ECON 4060,,gt_class
2259,MSE 1111,,gt_class
2260,FREN 3121,,gt_class
2261,INTA 2221,,gt_class
2262,MSE 3001,,gt_class
2263,MSE 3210,,gt_class
2264,MSE 3002,,gt_class
2265,MSE 3005,,gt_class
2266,MSE 2021,,gt_class
2267,MSE 4010,,gt_class
2268,PHYS 4321,,gt_class
2269,SPAN 3111,,gt_class
2270,PHYS 2111,,gt_class
2271,ECE 2031,,gt_class
2272,ECE 3041,,gt_class
2273,LCC 2400,,gt_class
2274,CHIN 4004,,gt_class
2275,CHIN 4XXX,,gt_class
2276,LING 4065,,gt_class
2277,LING 4XXX,,gt_class
2278,LING 2100,,gt_class
2279,PSYC 4100,,gt_class
2280,PSYC 4XXX,,gt_class
2281,MATH 4347,,gt_class
2282,CHBE 2110,,gt_class
2283,LMC 3204,,gt_class
2284,HTS 2032,,gt_class
2285,LING 2001,,gt_class
2286,CHEM 12X1,,gt_class
2287,LCC 2216,,gt_class
2288,PSYC 2010,,gt_class
2289,PSYC 3020,,gt_class
2290,PSYC 2240,,gt_class
2291,PSYC 2220,,gt_class
2292,PSYC 4050,,gt_class
2293,PSYC 2020,,gt_class
2294,MATH 4261,,gt_class
2295,MGT 4360,,gt_class
2296,PST 3127,,gt_class
2297,LCC 2200,,gt_class
2298,LCC 3400,,gt_class
2299,SPAN 3254,,gt_class
2300,LMC 3510,,gt_class
2301,BIOL 2345,,gt_class
2302,BIOL 4464,,gt_class
2303,AE 3120,,gt_class
2304,AE 2220,,gt_class
2305,LCC 2114,,gt_class
2306,CHBE 3210,,gt_class
2307,EAS 2601,,gt_class
2308,HTS 2009,,gt_class
2309,BIOL 3754,,gt_class
2310,CEE 1XXX,,gt_class
2311,HTS 3030,,gt_class
2312,MATH 2562,,gt_class
2313,EAS 4300,,gt_class
2314,HTS 2001,,gt_class
2315,HTS 2002,,gt_class
2316,CS 4400,,gt_class
2317,ISYE 4009,,gt_class
2318,ISYE 4231,,gt_class
2319,MGT 4450,,gt_class
2320,ISYE 2028,,gt_class
2321,SPAN 3121,,gt_class
2322,SPAN 4141,,gt_class
2323,SPAN 4151,,gt_class
2324,LCC 2206,,gt_class
2325,HPS 1060,,gt_class
2326,CHIN 3003,,gt_class
2327,CEE 2020,,gt_class
2328,FREN 3061,,gt_class
2329,GRMN 2XXX,,gt_class
2330,GRMN 3XXX,,gt_class
2331,GRMN 4XXX,,gt_class
2332,EAS 3XXX,,gt_class
2333,INTA 3241,,gt_class
2334,LCC 3252,,gt_class
2335,SPAN 1101,,gt_class
2336,INTA 3XXX,,gt_class
2337,LCC 3510,,gt_class
2338,PSY 4112,,gt_class
2339,PHYS 3223,,gt_class
2340,COA 2242,,gt_class
2341,LCC 3404,,gt_class
2342,CEE 3XXX,,gt_class
2343,BIOL 3755,,gt_class
2344,BIOL 3756,,gt_class
2345,LMC 3502,,gt_class
2346,LMC 3504,,gt_class
2347,HTS 3028,,gt_class
2348,MGT 4045,,gt_class
2349,ECON 4350,,gt_class
2350,ENGL 1001,,gt_class
2351,MUSI 3620,,gt_class
2352,PSYC 3010,,gt_class
2353,PSYC 3050,,gt_class
2354,ECE 3085,,gt_class
2355,ECE 3055,,gt_class
2356,ME 3720,,gt_class
2357,ME 2XXX,,gt_class
2358,LCC 2XXX,,gt_class
2359,MGT 3310,,gt_class
2360,HTS 2013,,gt_class
2361,BC 3XXX,,gt_class
2362,CS 4230,,gt_class
2363,CHEM 1315,,gt_class
2364,CS 3210,,gt_class
2365,LCC 3204,,gt_class
2366,ISYE 3133,,gt_class
2367,FREN 4241,,gt_class
2368,FREN 4XXX,,gt_class
2369,FREN 3001,,gt_class
2370,FREN 3002,,gt_class
2371,BIOL 4668,,gt_class
2372,HPS 1062,,gt_class
2373,PST 2010,,gt_class
2374,HTS 2016,,gt_class
2375,HTS 3012,,gt_class
2376,CHEM 4XXX,,gt_class
2377,CHBE 2130,,gt_class
2378,CHBE 2XXX,,gt_class
2379,ML 1813,,gt_class
2380,MUSI 4630,,gt_class
2381,MATH 4318,,gt_class
2382,MATH 4022,,gt_class
2383,MATH 4108,,gt_class
2384,MATH 4431,,gt_class
2385,MATH 4441,,gt_class
2386,MUSI 3500,,gt_class
2387,SPAN 4XXX,,gt_class
2388,MGT 4030,,gt_class
2389,MGT 4803,,gt_class
2390,LCC 3234,,gt_class
2391,LMC 3219,,gt_class
2392,MGT 3076,,gt_class
2393,MGT 4067,,gt_class
2394,MGT 3075,,gt_class
2395,MUSI 1113,,gt_class
2396,MUSI 3710,,gt_class
2397,MUSI 3720,,gt_class
2398,MUSI 3730,,gt_class
2399,CS 4001,,gt_class
2400,PST 3103,,gt_class
2401,PSYC 2XXX,,gt_class
2402,LCC 3506,,gt_class
2403,MUSI 1102,,gt_class
2404,MUSI 1103,,gt_class
2405,MUSI 1301,,gt_class
2406,MUSI 2102,,gt_class
2407,BIOL 2803,,gt_class
2408,BIOL 4752,,gt_class
2409,BIOL 4446,,gt_class
2410,BIOS 2301,,gt_class
2411,BIOL 3331,,gt_class
2412,CHEM 2211,,gt_class
2413,ECON 4510,,gt_class
2414,ECON 4XXX,,gt_class
2415,MATH 4541,,gt_class
2416,PHYS 3266,,gt_class
2417,INTA 2210,,gt_class
2418,CS 4451,,gt_class
2419,ECE 2025,,gt_class
2420,HPS 3400,,gt_class
2421,PHYS 11X1,,gt_class
2422,PHYS 11X2,,gt_class
2423,PSYC 3030,,gt_class
2424,LMC 3206,,gt_class
2425,CS 4510,,gt_class
2426,CS 1171,,gt_class
2427,HTS 4XXX,,gt_class
2428,MATH 1601,,gt_class
2429,HPS 1008,,gt_class
2430,PHIL 3103,,gt_class
2431,LCC 2661,,gt_class
2432,LCC 2214,,gt_class
2433,MS 1021,,gt_class
2434,MS 1XXX,,gt_class
2435,PHYS 3043,,gt_class
2436,SPAN 4255,,gt_class
2437,BIOS 2600,,gt_class
2438,BIOS 2601,,gt_class
2439,MGT 2251,,gt_class
2440,ECON 4440,,gt_class
2441,ECON 4411,,gt_class
2442,PHYS 3232,,gt_class
2443,SPAN 4065,,gt_class
2444,LMC 3512,,gt_class
2445,LMC 3511,,gt_class
2446,COS 2000,,gt_class
2447,BIOS 3451,,gt_class
2448,ARBC 1001,,gt_class
2449,ARBC 1002,,gt_class
2450,CS 13X2,,gt_class
2451,HPS 1004,,gt_class
2452,MATH 4262,,gt_class
2453,BIOS 4464,,gt_class
2454,BIOS 3600,,gt_class
2455,BMED 3600,,gt_class
2456,BIOS 4471,,gt_class
2457,BMED 3100,,gt_class
2458,BIOS 4XXX,,gt_class
2459,BIOS 4015,,gt_class
2460,BIOS 4410,,gt_class
2461,BIOS 4150,,gt_class
2462,BIOS 4699,,gt_class
2463,MGT 4195,,gt_class
2464,MGT 3742,,gt_class
2465,MGT 4028,,gt_class
2466,MGT 4353,,gt_class
2467,MGT 4XXX,,gt_class
2468,CHIN 1012,,gt_class
2469,CHIN 2011,,gt_class
2470,CHIN 3XXX,,gt_class
2471,CS 3600,,gt_class
2472,ECON 2250,,gt_class
2473,ECON 3161,,gt_class
2474,ECON 4232,,gt_class
2475,ECON 4355,,gt_class
2476,PHIL 2XXX,,gt_class
2477,LMC 3112,,gt_class
2478,MATH 1555,,gt_class
2479,MATH 1564,,gt_class
2480,MATH 4641,,gt_class
2481,MATH 3236,,gt_class
2482,MATH 6643,,gt_class
2483,NEUR 3003,,gt_class
2484,NEUR 4XXX,,gt_class
2485,SPAN 3050,,gt_class
2486,MGT 3607,,gt_class
2487,CHEM 4512,,gt_class
2488,CHEM 2698,,gt_class
2489,HTS 2100,,gt_class
2490,CS 1315,,gt_class
2491,MGT 2210,,gt_class
2492,MGT 4331,,gt_class
2493,MGT 4057,,gt_class
2494,ECON 4421,,gt_class
2495,FREN 2021,,gt_class
